,Fighter1,Fighter2,Winner,WeightClass
0,Dustin Ortiz,Alexandre Pantoja,Dustin Ortiz,Flyweight
0,Julio Arce,Dan Ige,Julio Arce,Featherweight
0,Enrique Barzola,Matt Bessette,Enrique Barzola,Featherweight
0,Islam Makhachev,Gleison Tibau,Islam Makhachev,Lightweight
0,Jeremy Stephens,Dooho Choi,Jeremy Stephens,Featherweight
0,Jessica-Rose Clark,Paige VanZant,Jessica-Rose Clark,Women's Flyweight
0,Kamaru Usman,Emil Meek,Kamaru Usman,Welterweight
0,Darren Elkins,Michael Johnson,Darren Elkins,Featherweight
0,James Krause,Alex White,James Krause,Lightweight
0,Polo Reyes,Matt Frevola,Polo Reyes,Lightweight
0,Irene Aldana,Talita Bernardo,Irene Aldana,Women's Bantamweight
0,Kyung Ho Kang,Guido Cannetti,Kyung Ho Kang,Bantamweight
0,Jessica Eye,Kalindra Faria,Jessica Eye,Women's Flyweight
0,JJ Aldrich,Danielle Taylor,JJ Aldrich,Women's Strawweight
0,Mads Burnell,Mike Santiago,Mads Burnell,Featherweight
0,Cris Cyborg,Holly Holm,Cris Cyborg,Women's Featherweight
0,Khabib Nurmagomedov,Edson Barboza,Khabib Nurmagomedov,Lightweight
0,Dan Hooker,Marc Diakiese,Dan Hooker,Lightweight
0,Carla Esparza,Cynthia Calvillo,Carla Esparza,Women's Strawweight
0,Neil Magny,Carlos Condit,Neil Magny,Welterweight
0,Michal Oleksiejczuk,Khalil Rountree Jr.,Michal Oleksiejczuk,Light Heavyweight
0,Myles Jury,Rick Glenn,Myles Jury,Featherweight
0,draw,Marvin Vettori,draw,0
0,Matheus Nicolau,Louis Smolka,Matheus Nicolau,Flyweight
0,Tim Elliott,Mark De La Rosa,Tim Elliott,Bantamweight
0,Rafael Dos Anjos,Robbie Lawler,Rafael Dos Anjos,Welterweight
0,Josh Emmett,Ricardo Lamas,Josh Emmett,Featherweight
0,Santiago Ponzinibbio,Mike Perry,Santiago Ponzinibbio,Welterweight
0,Glover Teixeira,Misha Cirkunov,Glover Teixeira,Light Heavyweight
0,Jan Blachowicz,Jared Cannonier,Jan Blachowicz,Light Heavyweight
0,Julian Marquez,Darren Stewart,Julian Marquez,Middleweight
0,Chad Laprise,Galore Bofando,Chad Laprise,Welterweight
0,Nordine Taleb,Danny Roberts,Nordine Taleb,Welterweight
0,John Makdessi,Abel Trujillo,John Makdessi,Lightweight
0,Alessio Di Chirico,Oluwale Bamgbose,Alessio Di Chirico,Middleweight
0,Jordan Mein,Erick Silva,Jordan Mein,Welterweight
0,Brian Ortega,Cub Swanson,Brian Ortega,Featherweight
0,Gabriel Benitez,Jason Knight,Gabriel Benitez,Featherweight
0,Marlon Moraes,Aljamain Sterling,Marlon Moraes,Bantamweight
0,Scott Holtzman,Darrell Horcher,Scott Holtzman,Lightweight
0,Eryk Anders,Markus Perez,Eryk Anders,Middleweight
0,Benito Lopez,Albert Morales,Benito Lopez,Bantamweight
0,Alexis Davis,Liz Carmouche,Alexis Davis,Women's Flyweight
0,Andre Soukhamthath,Luke Sanders,Andre Soukhamthath,Bantamweight
0,Alex Perez,Carls John De Tomas,Alex Perez,Bantamweight
0,Frankie Saenz,Merab Dvalishvili,Frankie Saenz,Bantamweight
0,Alejandro Perez,Iuri Alcantara,Alejandro Perez,Bantamweight
0,Davi Ramos,Chris Gruetzemacher,Davi Ramos,Lightweight
0,Trevin Giles,Antonio Braga Neto,Trevin Giles,Middleweight
0,Max Holloway,Jose Aldo,Max Holloway,Featherweight
0,Francis Ngannou,Alistair Overeem,Francis Ngannou,Heavyweight
0,Henry Cejudo,Sergio Pettis,Henry Cejudo,Flyweight
