,Fighter1,Fighter2,Winner,WeightClass
0,Donald Cerrone,Evan Dunham,Donald Cerrone,Lightweight
0,Thales Leites,Ed Herman,Thales Leites,Middleweight
0,Rick Story,Brian Ebersole,Rick Story,Welterweight
0,Erik Perez,Edwin Figueroa,Erik Perez,Bantamweight
0,Jason High,Anthony Lapsley,Jason High,Welterweight
0,Sergio Pettis,Will Campuzano,Sergio Pettis,Bantamweight
0,Gian Villante,Cody Donovan,Gian Villante,Light Heavyweight
0,Vitor Belfort,Dan Henderson,Vitor Belfort,Light Heavyweight
0,Cezar Ferreira,Daniel Sarafian,Cezar Ferreira,Middleweight
0,Rafael Feijao,Igor Pokrajac,Rafael Feijao,Light Heavyweight
0,Brandon Thatch,Paulo Thiago,Brandon Thatch,Welterweight
0,Ryan LaFlare,Santiago Ponzinibbio,Ryan LaFlare,Welterweight
0,Jeremy Stephens,Rony Jason,Jeremy Stephens,Featherweight
0,Sam Sicilia,Godofredo Pepey,Sam Sicilia,Featherweight
0,Omari Akhmedov,Thiago Perpetuo,Omari Akhmedov,Middleweight
0,Thiago Tavares,Justin Salas,Thiago Tavares,Lightweight
0,Adriano Martins,Daron Cruickshank,Adriano Martins,Lightweight
0,Dustin Ortiz,Jose Maria,Dustin Ortiz,Flyweight
0,Tim Kennedy,Rafael Natal,Tim Kennedy,Middleweight
0,Alexis Davis,Liz Carmouche,Alexis Davis,Women's Bantamweight
0,Yoel Romero,Ronny Markes,Yoel Romero,Middleweight
0,Rustam Khabilov,Jorge Masvidal,Rustam Khabilov,Lightweight
0,Michael Chiesa,Colton Smith,Michael Chiesa,Lightweight
0,Bobby Green,James Krause,Bobby Green,Lightweight
0,Francisco Rivera,George Roop,Francisco Rivera,Bantamweight
0,Dennis Bermudez,Steven Siler,Dennis Bermudez,Featherweight
0,Amanda Nunes,Germaine de Randamie,Amanda Nunes,Women's Bantamweight
0,Lorenz Larkin,Chris Camozzi,Lorenz Larkin,Middleweight
0,nc,Yves Edwards,nc,0
0,Seth Baczynski,Neil Magny,Seth Baczynski,Welterweight
0,Derek Brunson,Brian Houston,Derek Brunson,Middleweight
0,Lyoto Machida,Mark Munoz,Lyoto Machida,Middleweight
0,nc,Ross Pearson,nc,0
0,Jimi Manuwa,Ryan Jimmo,Jimi Manuwa,Light Heavyweight
0,Norman Parke,Jon Tuck,Norman Parke,Lightweight
0,Nico Musoke,Alessio Sakara,Nico Musoke,Middleweight
0,John Lineker,Phil Harris,John Lineker,Flyweight
0,Al Iaquinta,Piotr Hallmann,Al Iaquinta,Lightweight
0,Luke Barnatt,Andrew Craig,Luke Barnatt,Middleweight
0,Jessica Andrade,Rosi Sexton,Jessica Andrade,Women's Bantamweight
0,Cole Miller,Andy Ogle,Cole Miller,Featherweight
0,Jimy Hettes,Rob Whiteford,Jimy Hettes,Featherweight
0,Bradley Scott,Michael Kuiper,Bradley Scott,Middleweight
0,Cain Velasquez,Junior Dos Santos,Cain Velasquez,Heavyweight
0,Daniel Cormier,Roy Nelson,Daniel Cormier,Heavyweight
0,Gilbert Melendez,Diego Sanchez,Gilbert Melendez,Lightweight
0,Gabriel Gonzaga,Shawn Jordan,Gabriel Gonzaga,Heavyweight
0,John Dodson,Darrell Montague,John Dodson,Flyweight
0,Tim Boetsch,CB Dollaway,Tim Boetsch,Middleweight
0,Hector Lombard,Nate Marquardt,Hector Lombard,Welterweight
0,nc,Sarah Kaufman,nc,0
0,KJ Noons,George Sotiropoulos,KJ Noons,Lightweight
0,Adlan Amagov,TJ Waldburger,Adlan Amagov,Welterweight
0,Tony Ferguson,Mike Rio,Tony Ferguson,Lightweight
0,Andre Fili,Jeremy Larsen,Andre Fili,Featherweight
0,Kyoji Horiguchi,Dustin Pague,Kyoji Horiguchi,Bantamweight
0,Jake Shields,Demian Maia,Jake Shields,Welterweight
0,Dong Hyun Kim,Erick Silva,Dong Hyun Kim,Welterweight
0,Thiago Silva,Matt Hamill,Thiago Silva,Light Heavyweight
0,Fabio Maldonado,Joey Beltran,Fabio Maldonado,Light Heavyweight
0,Rousimar Palhares,Mike Pierce,Rousimar Palhares,Welterweight
0,Raphael Assuncao,TJ Dillashaw,Raphael Assuncao,Bantamweight
0,Igor Araujo,Ildemar Alcantara,Igor Araujo,Welterweight
0,Yan Cabral,David Mitchell,Yan Cabral,Welterweight
0,Chris Cariaso,Iliarde Santos,Chris Cariaso,Flyweight
0,Alan Patrick,Garett Whiteley,Alan Patrick,Lightweight
0,Jon Jones,Alexander Gustafsson,Jon Jones,Light Heavyweight
0,Renan Barao,Eddie Wineland,Renan Barao,Bantamweight
0,Brendan Schaub,Matt Mitrione,Brendan Schaub,Heavyweight
0,Francis Carmont,Costas Philippou,Francis Carmont,Middleweight
0,Khabib Nurmagomedov,Pat Healy,Khabib Nurmagomedov,Lightweight
0,Myles Jury,Mike Ricci,Myles Jury,Lightweight
0,Wilson Reis,Ivan Menjivar,Wilson Reis,Bantamweight
0,Stephen Thompson,Chris Clements,Stephen Thompson,Welterweight
0,Mitch Gagnon,Dustin Kimura,Mitch Gagnon,Bantamweight
0,John Makdessi,Renee Forte,John Makdessi,Lightweight
0,Michel Prazeres,Jesse Ronson,Michel Prazeres,Lightweight
0,Alex Caceres,Roland Delorme,Alex Caceres,Bantamweight
0,Daniel Omielanczuk,Nandor Guelmino,Daniel Omielanczuk,Heavyweight
0,Glover Teixeira,Ryan Bader,Glover Teixeira,Light Heavyweight
0,Jacare Souza,Yushin Okami,Jacare Souza,Middleweight
0,Joseph Benavidez,Jussier Formiga,Joseph Benavidez,Flyweight
0,Piotr Hallmann,Francisco Trinaldo,Piotr Hallmann,Lightweight
0,Rafael Natal,Tor Troeng,Rafael Natal,Middleweight
0,Ali Bagautinov,Marcos Vinicius,Ali Bagautinov,Flyweight
0,Kevin Souza,Felipe Arantes,Kevin Souza,Featherweight
0,Lucas Martins,Junior Hernandez,Lucas Martins,Bantamweight
0,Elias Silverio,Joao Zeferino,Elias Silverio,Welterweight
0,Ivan Jorge,Keith Wisniewski,Ivan Jorge,Welterweight
0,Sean Spencer,Yuri Villefort,Sean Spencer,Welterweight
0,Anthony Pettis,Benson Henderson,Anthony Pettis,Lightweight
0,Josh Barnett,Frank Mir,Josh Barnett,Heavyweight
0,Chad Mendes,Clay Guida,Chad Mendes,Featherweight
0,Ben Rothwell,Brandon Vera,Ben Rothwell,Heavyweight
0,Dustin Poirier,Erik Koch,Dustin Poirier,Featherweight
0,Gleison Tibau,Jamie Varner,Gleison Tibau,Lightweight
0,Tim Elliott,Louis Gaudinot,Tim Elliott,Flyweight
0,Hyun Gyu Lim,Pascal Krauss,Hyun Gyu Lim,Welterweight
0,Chico Camus,Kyung Ho Kang,Chico Camus,Bantamweight
0,Soa Palelei,Nikita Krylov,Soa Palelei,Heavyweight
0,Al Iaquinta,Ryan Couture,Al Iaquinta,Lightweight
0,Magnus Cedenblad,Jared Hamman,Magnus Cedenblad,Middleweight
0,Carlos Condit,Martin Kampmann,Carlos Condit,Welterweight
0,Rafael Dos Anjos,Donald Cerrone,Rafael Dos Anjos,Lightweight
0,Kelvin Gastelum,Brian Melancon,Kelvin Gastelum,Welterweight
0,Court McGee,Robert Whittaker,Court McGee,Welterweight
0,Takeya Mizugaki,Erik Perez,Takeya Mizugaki,Bantamweight
0,Brad Tavares,Bubba McDaniel,Brad Tavares,Middleweight
0,Dylan Andrews,Papy Abedi,Dylan Andrews,Middleweight
0,Brandon Thatch,Justin Edwards,Brandon Thatch,Welterweight
0,Darren Elkins,Hatsu Hioki,Darren Elkins,Featherweight
0,Jason High,James Head,Jason High,Welterweight
0,Zak Cummings,Benny Alloway,Zak Cummings,Welterweight
0,nc,Roger Bowling,nc,1
0,Chael Sonnen,Mauricio Rua,Chael Sonnen,Light Heavyweight
0,Travis Browne,Alistair Overeem,Travis Browne,Heavyweight
0,Urijah Faber,Iuri Alcantara,Urijah Faber,Bantamweight
0,Matt Brown,Mike Pyle,Matt Brown,Welterweight
0,John Howard,Uriah Hall,John Howard,Middleweight
0,Michael Johnson,Joe Lauzon,Michael Johnson,Lightweight
0,Michael McDonald,Brad Pickett,Michael McDonald,Bantamweight
0,Conor McGregor,Max Holloway,Conor McGregor,Featherweight
0,Steven Siler,Mike Brown,Steven Siler,Featherweight
0,Diego Brandao,Daniel Pineda,Diego Brandao,Featherweight
0,Manvel Gamburyan,Cole Miller,Manvel Gamburyan,Featherweight
0,Ovince Saint Preux,Cody Donovan,Ovince Saint Preux,Light Heavyweight
0,James Vick,Ramsey Nijem,James Vick,Lightweight
0,Jose Aldo,Chan Sung Jung,Jose Aldo,Featherweight
0,Phil Davis,Lyoto Machida,Phil Davis,Light Heavyweight
0,Cezar Ferreira,Thiago Santos,Cezar Ferreira,Middleweight
0,Thales Leites,Tom Watson,Thales Leites,Middleweight
0,John Lineker,Jose Maria,John Lineker,Flyweight
0,Anthony Perosh,Vinny Magalhaes,Anthony Perosh,Light Heavyweight
0,Amanda Nunes,Sheila Gaff,Amanda Nunes,Women's Bantamweight
0,Sergio Moraes,Neil Magny,Sergio Moraes,Welterweight
0,Ian McCall,Iliarde Santos,Ian McCall,Flyweight
0,Rani Yahya,Josh Clopton,Rani Yahya,Featherweight
0,Francimar Barroso,Ednaldo Oliveira,Francimar Barroso,Light Heavyweight
0,Viscardi Andrade,Bristol Marunde,Viscardi Andrade,Welterweight
0,Demetrious Johnson,John Moraga,Demetrious Johnson,Flyweight
0,Rory MacDonald,Jake Ellenberger,Rory MacDonald,Welterweight
0,Robbie Lawler,Bobby Voelker,Robbie Lawler,Welterweight
0,Liz Carmouche,Jessica Andrade,Liz Carmouche,Women's Bantamweight
0,Jorge Masvidal,Michael Chiesa,Jorge Masvidal,Lightweight
0,Danny Castillo,Tim Means,Danny Castillo,Lightweight
0,Melvin Guillard,Mac Danzig,Melvin Guillard,Lightweight
0,Daron Cruickshank,Yves Edwards,Daron Cruickshank,Lightweight
0,Ed Herman,Trevor Smith,Ed Herman,Middleweight
0,Germaine de Randamie,Julie Kedzie,Germaine de Randamie,Women's Bantamweight
0,Justin Salas,Aaron Riley,Justin Salas,Lightweight
0,Yaotzin Meza,John Albert,Yaotzin Meza,Bantamweight
0,Chris Weidman,Anderson Silva,Chris Weidman,Middleweight
0,Frankie Edgar,Charles Oliveira,Frankie Edgar,Featherweight
0,Tim Kennedy,Roger Gracie,Tim Kennedy,Middleweight
0,Mark Munoz,Tim Boetsch,Mark Munoz,Middleweight
0,Cub Swanson,Dennis Siver,Cub Swanson,Featherweight
0,Andrew Craig,Chris Leben,Andrew Craig,Middleweight
0,Norman Parke,Kazuki Tokudome,Norman Parke,Lightweight
0,Gabriel Gonzaga,Dave Herman,Gabriel Gonzaga,Heavyweight
0,Edson Barboza,Rafaello Oliveira,Edson Barboza,Lightweight
0,Brian Melancon,Seth Baczynski,Brian Melancon,Welterweight
0,Mike Pierce,David Mitchell,Mike Pierce,Welterweight
0,Rashad Evans,Dan Henderson,Rashad Evans,Light Heavyweight
0,Stipe Miocic,Roy Nelson,Stipe Miocic,Heavyweight
0,Ryan Jimmo,Igor Pokrajac,Ryan Jimmo,Light Heavyweight
0,Alexis Davis,Rosi Sexton,Alexis Davis,Women's Bantamweight
0,Shawn Jordan,Pat Barry,Shawn Jordan,Heavyweight
0,Jake Shields,Tyron Woodley,Jake Shields,Welterweight
0,James Krause,Sam Stout,James Krause,Lightweight
0,Sean Pierson,Kenny Robertson,Sean Pierson,Welterweight
0,Roland Delorme,Edwin Figueroa,Roland Delorme,Bantamweight
0,Mitch Clarke,John Maguire,Mitch Clarke,Lightweight
0,Yves Jabouin,Dustin Pague,Yves Jabouin,Bantamweight
0,Fabricio Werdum,Minotauro Nogueira,Fabricio Werdum,Heavyweight
0,Leonardo Santos,William Patolino,Leonardo Santos,Welterweight
0,Thiago Silva,Rafael Feijao,Thiago Silva,Light Heavyweight
0,Erick Silva,Jason High,Erick Silva,Welterweight
0,Daniel Sarafian,Eddie Mendez,Daniel Sarafian,Middleweight
0,Rony Jason,Mike Wilkinson,Rony Jason,Featherweight
0,Raphael Assuncao,Vaughan Lee,Raphael Assuncao,Bantamweight
0,Felipe Arantes,Godofredo Pepey,Felipe Arantes,Featherweight
0,Ildemar Alcantara,Leandro Silva,Ildemar Alcantara,Welterweight
0,Rodrigo Damm,Mizuto Hirota,Rodrigo Damm,Featherweight
0,Caio Magalhaes,Karlos Vemola,Caio Magalhaes,Middleweight
0,Antonio Braga Neto,Anthony Smith,Antonio Braga Neto,Middleweight
0,Cain Velasquez,Antonio Silva,Cain Velasquez,Heavyweight
0,Junior Dos Santos,Mark Hunt,Junior Dos Santos,Heavyweight
0,Glover Teixeira,James Te Huna,Glover Teixeira,Light Heavyweight
0,TJ Grant,Gray Maynard,TJ Grant,Lightweight
0,Donald Cerrone,KJ Noons,Donald Cerrone,Lightweight
0,Mike Pyle,Rick Story,Mike Pyle,Welterweight
0,Dennis Bermudez,Max Holloway,Dennis Bermudez,Featherweight
0,Robert Whittaker,Colton Smith,Robert Whittaker,Welterweight
0,Khabib Nurmagomedov,Abel Trujillo,Khabib Nurmagomedov,Lightweight
0,Stephen Thompson,Nah-Shon Burrell,Stephen Thompson,Welterweight
0,George Roop,Brian Bowles,George Roop,Bantamweight
0,Jeremy Stephens,Estevan Payan,Jeremy Stephens,Featherweight
0,Vitor Belfort,Luke Rockhold,Vitor Belfort,Middleweight
0,Jacare Souza,Chris Camozzi,Jacare Souza,Middleweight
0,Rafael Dos Anjos,Evan Dunham,Rafael Dos Anjos,Lightweight
0,Rafael Natal,Joao Zeferino,Rafael Natal,Middleweight
0,Nik Lentz,Hacran Dias,Nik Lentz,Featherweight
0,Francisco Trinaldo,Mike Rio,Francisco Trinaldo,Lightweight
0,Gleison Tibau,John Cholish,Gleison Tibau,Lightweight
0,Paulo Thiago,Michel Prazeres,Paulo Thiago,Welterweight
0,Iuri Alcantara,Iliarde Santos,Iuri Alcantara,Bantamweight
0,Fabio Maldonado,Roger Hollett,Fabio Maldonado,Light Heavyweight
0,John Lineker,Azamat Gashimov,John Lineker,Flyweight
0,Jussier Formiga,Chris Cariaso,Jussier Formiga,Flyweight
0,Lucas Martins,Jeremy Larsen,Lucas Martins,Lightweight
0,Jon Jones,Chael Sonnen,Jon Jones,Light Heavyweight
0,Michael Bisping,Alan Belcher,Michael Bisping,Middleweight
0,Roy Nelson,Cheick Kongo,Roy Nelson,Heavyweight
0,Phil Davis,Vinny Magalhaes,Phil Davis,Light Heavyweight
0,nc,Jim Miller,nc,4
0,Rustam Khabilov,Yancy Medeiros,Rustam Khabilov,Lightweight
0,Ovince Saint Preux,Gian Villante,Ovince Saint Preux,Light Heavyweight
0,Sara McMann,Sheila Gaff,Sara McMann,Women's Bantamweight
0,Bryan Caraway,Johnny Bedford,Bryan Caraway,Bantamweight
0,Cody McKenzie,Leonard Garcia,Cody McKenzie,Featherweight
0,Steven Siler,Kurt Holobaugh,Steven Siler,Featherweight
0,Benson Henderson,Gilbert Melendez,Benson Henderson,Lightweight
0,Daniel Cormier,Frank Mir,Daniel Cormier,Heavyweight
0,Josh Thomson,Nate Diaz,Josh Thomson,Lightweight
0,Matt Brown,Jordan Mein,Matt Brown,Welterweight
0,Chad Mendes,Darren Elkins,Chad Mendes,Featherweight
0,Francis Carmont,Lorenz Larkin,Francis Carmont,Middleweight
0,Myles Jury,Ramsey Nijem,Myles Jury,Lightweight
0,Joseph Benavidez,Darren Uyenoyama,Joseph Benavidez,Flyweight
0,Jorge Masvidal,Tim Means,Jorge Masvidal,Lightweight
0,TJ Dillashaw,Hugo Viana,TJ Dillashaw,Bantamweight
0,Anthony Njokuani,Roger Bowling,Anthony Njokuani,Lightweight
0,Yoel Romero,Clifford Starks,Yoel Romero,Middleweight
0,Urijah Faber,Scott Jorgensen,Urijah Faber,Bantamweight
0,Kelvin Gastelum,Uriah Hall,Kelvin Gastelum,Middleweight
0,Cat Zingano,Miesha Tate,Cat Zingano,Women's Bantamweight
0,Travis Browne,Gabriel Gonzaga,Travis Browne,Heavyweight
0,Bubba McDaniel,Gilbert Smith,Bubba McDaniel,Middleweight
0,Josh Samman,Kevin Casey,Josh Samman,Middleweight
0,Luke Barnatt,Collin Hart,Luke Barnatt,Middleweight
0,Dylan Andrews,Jimmy Quinlan,Dylan Andrews,Middleweight
0,Clint Hester,Bristol Marunde,Clint Hester,Middleweight
0,Cole Miller,Bart Palaszewski,Cole Miller,Featherweight
0,Maximo Blanco,Sam Sicilia,Maximo Blanco,Featherweight
0,Daniel Pineda,Justin Lawrence,Daniel Pineda,Featherweight
0,Gegard Mousasi,Ilir Latifi,Gegard Mousasi,Light Heavyweight
0,Ross Pearson,Ryan Couture,Ross Pearson,Lightweight
0,Matt Mitrione,Philip De Fries,Matt Mitrione,Heavyweight
0,Brad Pickett,Mike Easton,Brad Pickett,Bantamweight
0,Diego Brandao,Pablo Garza,Diego Brandao,Featherweight
0,Akira Corassani,Robert Peralta,Akira Corassani,Featherweight
0,Reza Madadi,Michael Johnson,Reza Madadi,Lightweight
0,Tor Troeng,Adam Cella,Tor Troeng,Middleweight
0,Adlan Amagov,Chris Spang,Adlan Amagov,Welterweight
0,Conor McGregor,Marcus Brimage,Conor McGregor,Featherweight
0,Ryan LaFlare,Benny Alloway,Ryan LaFlare,Welterweight
0,Tom Lawlor,Michael Kuiper,Tom Lawlor,Middleweight
0,Papy Abedi,Besam Yousef,Papy Abedi,Welterweight
0,Georges St-Pierre,Nick Diaz,Georges St-Pierre,Welterweight
0,Johny Hendricks,Carlos Condit,Johny Hendricks,Welterweight
0,Jake Ellenberger,Nate Marquardt,Jake Ellenberger,Welterweight
0,Chris Camozzi,Nick Ring,Chris Camozzi,Middleweight
0,Mike Ricci,Colin Fletcher,Mike Ricci,Lightweight
0,Patrick Cote,Bobby Voelker,Patrick Cote,Welterweight
0,Darren Elkins,Antonio Carvalho,Darren Elkins,Featherweight
0,Jordan Mein,Dan Miller,Jordan Mein,Welterweight
0,John Makdessi,Daron Cruickshank,John Makdessi,Lightweight
0,Rick Story,Quinn Mulhern,Rick Story,Welterweight
0,TJ Dillashaw,Issei Tamura,TJ Dillashaw,Bantamweight
0,George Roop,Reuben Duran,George Roop,Bantamweight
0,Wanderlei Silva,Brian Stann,Wanderlei Silva,Light Heavyweight
0,Mark Hunt,Stefan Struve,Mark Hunt,Heavyweight
0,Diego Sanchez,Takanori Gomi,Diego Sanchez,Lightweight
0,Yushin Okami,Hector Lombard,Yushin Okami,Middleweight
0,Rani Yahya,Mizuto Hirota,Rani Yahya,Featherweight
0,Dong Hyun Kim,Siyar Bahadurzada,Dong Hyun Kim,Welterweight
0,Brad Tavares,Riki Fukuda,Brad Tavares,Middleweight
0,Takeya Mizugaki,Bryan Caraway,Takeya Mizugaki,Bantamweight
0,Kazuki Tokudome,Cristiano Marcello,Kazuki Tokudome,Lightweight
0,nc,Alex Caceres,nc,8
0,Hyun Gyu Lim,Marcelo Guimaraes,Hyun Gyu Lim,Welterweight
0,Ronda Rousey,Liz Carmouche,Ronda Rousey,Women's Bantamweight
0,Lyoto Machida,Dan Henderson,Lyoto Machida,Light Heavyweight
0,Urijah Faber,Ivan Menjivar,Urijah Faber,Bantamweight
0,Court McGee,Josh Neer,Court McGee,Welterweight
0,Robbie Lawler,Josh Koscheck,Robbie Lawler,Welterweight
0,Brendan Schaub,Lavar Johnson,Brendan Schaub,Heavyweight
0,Michael Chiesa,Anton Kuivanen,Michael Chiesa,Lightweight
0,Dennis Bermudez,Matt Grice,Dennis Bermudez,Featherweight
0,Sam Stout,Caros Fodor,Sam Stout,Lightweight
0,Kenny Robertson,Brock Jardine,Kenny Robertson,Welterweight
0,Neil Magny,Jon Manley,Neil Magny,Welterweight
0,Nah-Shon Burrell,Yuri Villefort,Nah-Shon Burrell,Welterweight
0,Renan Barao,Michael McDonald,Renan Barao,Bantamweight
0,Cub Swanson,Dustin Poirier,Cub Swanson,Featherweight
0,Jimi Manuwa,Cyrille Diabate,Jimi Manuwa,Light Heavyweight
0,Gunnar Nelson,Jorge Santiago,Gunnar Nelson,Welterweight
0,James Te Huna,Ryan Jimmo,James Te Huna,Light Heavyweight
0,nc,Che Mills,nc,6
0,Renee Forte,Terry Etim,Renee Forte,Lightweight
0,Danny Castillo,Paul Sass,Danny Castillo,Lightweight
0,Andy Ogle,Josh Grispi,Andy Ogle,Featherweight
0,Tom Watson,Stanislav Nedkov,Tom Watson,Middleweight
0,Vaughan Lee,Motonobu Tezuka,Vaughan Lee,Bantamweight
0,Phil Harris,Ulysses Gomez,Phil Harris,Flyweight
0,Jose Aldo,Frankie Edgar,Jose Aldo,Featherweight
0,Rogerio Nogueira,Rashad Evans,Rogerio Nogueira,Light Heavyweight
0,Antonio Silva,Alistair Overeem,Antonio Silva,Heavyweight
0,Demian Maia,Jon Fitch,Demian Maia,Welterweight
0,Joseph Benavidez,Ian McCall,Joseph Benavidez,Flyweight
0,Evan Dunham,Gleison Tibau,Evan Dunham,Lightweight
0,Tyron Woodley,Jay Hieron,Tyron Woodley,Welterweight
0,Bobby Green,Jacob Volkmann,Bobby Green,Lightweight
0,Isaac Vallie-Flagg,Yves Edwards,Isaac Vallie-Flagg,Lightweight
0,Dustin Kimura,Chico Camus,Dustin Kimura,Bantamweight
0,Francisco Rivera,Edwin Figueroa,Francisco Rivera,Bantamweight
0,Demetrious Johnson,John Dodson,Demetrious Johnson,Flyweight
0,Glover Teixeira,Rampage Jackson,Glover Teixeira,Light Heavyweight
0,Anthony Pettis,Donald Cerrone,Anthony Pettis,Lightweight
0,Ricardo Lamas,Erik Koch,Ricardo Lamas,Featherweight
0,TJ Grant,Matt Wiman,TJ Grant,Lightweight
0,Clay Guida,Hatsu Hioki,Clay Guida,Featherweight
0,Pascal Krauss,Mike Stumpf,Pascal Krauss,Welterweight
0,Ryan Bader,Vladimir Matyushenko,Ryan Bader,Light Heavyweight
0,Shawn Jordan,Mike Russow,Shawn Jordan,Heavyweight
0,Rafael Natal,Sean Spencer,Rafael Natal,Middleweight
0,David Mitchell,Simeon Thoresen,David Mitchell,Welterweight
0,Vitor Belfort,Michael Bisping,Vitor Belfort,Middleweight
0,CB Dollaway,Daniel Sarafian,CB Dollaway,Middleweight
0,Gabriel Gonzaga,Ben Rothwell,Gabriel Gonzaga,Heavyweight
0,Khabib Nurmagomedov,Thiago Tavares,Khabib Nurmagomedov,Lightweight
0,Godofredo Pepey,Milton Vieira,Godofredo Pepey,Featherweight
0,Ronny Markes,Andrew Craig,Ronny Markes,Middleweight
0,Nik Lentz,Diego Nunes,Nik Lentz,Featherweight
0,Edson Barboza,Lucas Martins,Edson Barboza,Lightweight
0,nc,Iuri Alcantara,nc,0
0,Ildemar Alcantara,Wagner Prado,Ildemar Alcantara,Light Heavyweight
0,Francisco Trinaldo,CJ Keith,Francisco Trinaldo,Lightweight
0,Cain Velasquez,Junior Dos Santos,Cain Velasquez,Heavyweight
0,Jim Miller,Joe Lauzon,Jim Miller,Lightweight
0,Costas Philippou,Tim Boetsch,Costas Philippou,Middleweight
0,Yushin Okami,Alan Belcher,Yushin Okami,Middleweight
0,Derek Brunson,Chris Leben,Derek Brunson,Middleweight
0,Eddie Wineland,Brad Pickett,Eddie Wineland,Bantamweight
0,Erik Perez,Byron Bloodworth,Erik Perez,Bantamweight
0,Jamie Varner,Melvin Guillard,Jamie Varner,Lightweight
0,Myles Jury,Michael Johnson,Myles Jury,Lightweight
0,Todd Duffee,Philip De Fries,Todd Duffee,Heavyweight
0,Max Holloway,Leonard Garcia,Max Holloway,Featherweight
0,John Moraga,Chris Cariaso,John Moraga,Flyweight
0,Roy Nelson,Matt Mitrione,Roy Nelson,Heavyweight
0,Colton Smith,Mike Ricci,Colton Smith,Welterweight
0,Pat Barry,Shane del Rosario,Pat Barry,Heavyweight
0,Dustin Poirier,Jonathan Brookins,Dustin Poirier,Featherweight
0,Mike Pyle,James Head,Mike Pyle,Welterweight
0,Johnny Bedford,Marcos Vinicius,Johnny Bedford,Bantamweight
0,Rustam Khabilov,Vinc Pichel,Rustam Khabilov,Lightweight
0,TJ Waldburger,Nick Catone,TJ Waldburger,Welterweight
0,Hugo Viana,Reuben Duran,Hugo Viana,Bantamweight
0,Mike Rio,John Cofer,Mike Rio,Lightweight
0,Tim Elliott,Jared Papazian,Tim Elliott,Flyweight
0,Ross Pearson,George Sotiropoulos,Ross Pearson,Lightweight
0,Robert Whittaker,Bradley Scott,Robert Whittaker,Welterweight
0,Norman Parke,Colin Fletcher,Norman Parke,Lightweight
0,Hector Lombard,Rousimar Palhares,Hector Lombard,Middleweight
0,Chad Mendes,Yaotzin Meza,Chad Mendes,Featherweight
0,nc,Igor Pokrajac,nc,0
0,Mike Pierce,Seth Baczynski,Mike Pierce,Welterweight
0,Benny Alloway,Manuel Rodriguez,Benny Alloway,Welterweight
0,Mike Wilkinson,Brendan Loughnane,Mike Wilkinson,Lightweight
0,Cody Donovan,Nick Penner,Cody Donovan,Light Heavyweight
0,Benson Henderson,Nate Diaz,Benson Henderson,Lightweight
0,Alexander Gustafsson,Mauricio Rua,Alexander Gustafsson,Light Heavyweight
0,Rory MacDonald,BJ Penn,Rory MacDonald,Welterweight
0,Matt Brown,Mike Swick,Matt Brown,Welterweight
0,Yves Edwards,Jeremy Stephens,Yves Edwards,Lightweight
0,Raphael Assuncao,Mike Easton,Raphael Assuncao,Bantamweight
0,Ramsey Nijem,Joe Proctor,Ramsey Nijem,Lightweight
0,Daron Cruickshank,Henry Martinez,Daron Cruickshank,Lightweight
0,Abel Trujillo,Marcus LeVesseur,Abel Trujillo,Lightweight
0,Dennis Siver,Nam Phan,Dennis Siver,Featherweight
0,Scott Jorgensen,John Albert,Scott Jorgensen,Bantamweight
0,Georges St-Pierre,Carlos Condit,Georges St-Pierre,Welterweight
0,Johny Hendricks,Martin Kampmann,Johny Hendricks,Welterweight
0,Francis Carmont,Tom Lawlor,Francis Carmont,Middleweight
0,Rafael Dos Anjos,Mark Bocek,Rafael Dos Anjos,Lightweight
0,Pablo Garza,Mark Hominick,Pablo Garza,Featherweight
0,Patrick Cote,Alessio Sakara,Patrick Cote,Middleweight
0,Cyrille Diabate,Chad Griggs,Cyrille Diabate,Light Heavyweight
0,John Makdessi,Sam Stout,John Makdessi,Lightweight
0,Antonio Carvalho,Rodrigo Damm,Antonio Carvalho,Featherweight
0,Matthew Riddle,John Maguire,Matthew Riddle,Welterweight
0,Ivan Menjivar,Azamat Gashimov,Ivan Menjivar,Bantamweight
0,Darren Elkins,Steven Siler,Darren Elkins,Featherweight
0,Cung Le,Rich Franklin,Cung Le,Middleweight
0,nc,Thiago Silva,nc,1
0,Dong Hyun Kim,Paulo Thiago,Dong Hyun Kim,Welterweight
0,Takanori Gomi,Mac Danzig,Takanori Gomi,Lightweight
0,Jon Tuck,Tiequan Zhang,Jon Tuck,Lightweight
0,Takeya Mizugaki,Jeff Hougland,Takeya Mizugaki,Bantamweight
0,Alex Caceres,Motonobu Tezuka,Alex Caceres,Bantamweight
0,John Lineker,Yasuhiro Urushitani,John Lineker,Flyweight
0,Riki Fukuda,Tom DeBlass,Riki Fukuda,Middleweight
0,Anderson Silva,Stephan Bonnar,Anderson Silva,Light Heavyweight
0,Minotauro Nogueira,Dave Herman,Minotauro Nogueira,Heavyweight
0,Glover Teixeira,Fabio Maldonado,Glover Teixeira,Light Heavyweight
0,Jon Fitch,Erick Silva,Jon Fitch,Welterweight
0,Phil Davis,Wagner Prado,Phil Davis,Light Heavyweight
0,Demian Maia,Rick Story,Demian Maia,Welterweight
0,Rony Jason,Sam Sicilia,Rony Jason,Featherweight
0,Gleison Tibau,Francisco Trinaldo,Gleison Tibau,Lightweight
