,Fighter1,Fighter2,outcome,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
1263,Mike de la Torre,Yui Chul Nam,1,-0.31999993324279785,2.75,-0.12000000476837158,0.030000001192092896,-0.9700000286102295,0.0,0.25999999046325684,-0.30000001192092896
1264,Tae Hyun Bang,Leo Kuntz,1,1.040000081062317,-1.7300000190734863,0.06000000238418579,0.21000003814697266,-1.5,0.08000001311302185,0.23999997973442078,-0.19999998807907104
1265,Cortney Casey,Seohee Ham,0,0.19000005722045898,-1.0500001907348633,0.0,-0.06999999284744263,0.3100000023841858,0.5,-0.4100000262260437,0.40000003576278687
1266,Fredy Serrano,Yao Zhikui,1,0.13999998569488525,-0.9299999475479126,0.04999999701976776,0.1300000250339508,2.179999828338623,0.09000000357627869,0.25999999046325684,0.0
1267,Marco Beltran,Ning Guangyou,1,-0.5900001525878906,0.019999980926513672,-0.03999999165534973,0.019999980926513672,-0.39000004529953003,0.0,-0.1599999964237213,-0.10000000894069672
1268,Dominique Steele,Dong Hyun Kim 170,1,0.20000004768371582,0.5300000905990601,0.0,-0.07999998331069946,0.019999980926513672,-0.010000020265579224,0.050000011920928955,-0.6000000238418579
1269,Neil Magny,Kelvin Gastelum,1,-0.019999980926513672,-0.8299999237060547,0.04999998211860657,-0.050000011920928955,2.009999990463257,-0.030000001192092896,-0.019999980926513672,0.10000000894069672
1270,Diego Sanchez,Ricardo Lamas,0,0.019999980926513672,0.5,-0.07999998331069946,-0.009999990463256836,-0.08999991416931152,-0.09000001847743988,0.030000001192092896,-0.10000002384185791
1271,Jussier Formiga,Henry Cejudo,0,-2.429999828338623,-0.25,-0.06000000238418579,-0.06000000238418579,-0.6000000238418579,-0.009999990463256836,-0.1499999761581421,0.5999999642372131
1272,Erick Montano,Enrique Marin,1,1.3600000143051147,-0.940000057220459,0.10999998450279236,0.13999998569488525,-0.21000003814697266,-0.019999980926513672,0.06000000238418579,-1.0
1273,Enrique Barzola,Horacio Gutierrez,1,2.6599998474121094,-0.6500000953674316,0.17000001668930054,0.22999998927116394,6.170000076293945,0.5199999809265137,0.25,0.30000001192092896
1274,Leandro Silva,Efrain Escudero,1,-0.5299999713897705,-0.2200000286102295,0.03999999165534973,0.0,0.4500000476837158,-0.030000001192092896,-0.010000050067901611,-0.4000000059604645
1275,Taylor Lapilus,Erik Perez,0,0.6099998950958252,-0.08999991416931152,0.04999998211860657,-0.050000011920928955,-2.580000162124634,-0.15000000596046448,0.12000000476837158,0.40000003576278687
